Trial,NaOH_g,Na2SiO3_g,ExtraH2O_g,Na2O_pct,MS,LS,NaOH_conc_raw,Na2SiO3_NaOH_raw,Alk_Bi,IST_raw,FST_raw,Remarks,IST,FST,trial_valid,NaOH_conc_value,activator_route,Na2SiO3_NaOH,has_Na2SiO3,solution_mass_check,workability_class,total_alkaline_solution_g,solid_activator_fraction,water_binder_ratio,NaOH_binder_ratio,Na2SiO3_binder_ratio
1,110.0,0.0,0.0,0.205,0.0,0.23,12M,0,0.55,14,50,,14.0,50.0,True,12.0,molar_solution,0.0,0,110.0,normal,110.0,0.0,0.0,0.55,0.0
2,0.0,110.0,0.0,0.045,3.3,0.3,8.15% Na2O,0,0.55,-,-,Formation of solid liquids,,,False,8.15,pct_na2o_solid,0.0,1,110.0,failed_reaction,110.0,0.0,0.0,0.0,0.55
3,110.0,0.0,0.0,0.136,0.0,0.32,8M,0,0.55,33,59,,33.0,59.0,True,8.0,molar_solution,0.0,0,110.0,normal,110.0,0.0,0.0,0.55,0.0
4,110.0,0.0,0.0,0.171,0.0,0.27,10M,0,0.55,24,52,,24.0,52.0,True,10.0,molar_solution,0.0,0,110.0,normal,110.0,0.0,0.0,0.55,0.0
5,129.9,0.0,0.0,0.242,0.0,0.26,12M,0,0.65,44,92,,44.0,92.0,True,12.0,molar_solution,0.0,0,129.9,normal,129.9,0.0,0.0,0.6495000000000001,0.0
6,129.9,0.0,0.0,0.201,0.0,0.31,10M,0,0.65,46,77,,46.0,77.0,True,10.0,molar_solution,0.0,0,129.9,normal,129.9,0.0,0.0,0.6495000000000001,0.0
7,129.9,0.0,0.0,0.161,0.0,0.37,8M,0,0.65,50,76,,50.0,76.0,True,8.0,molar_solution,0.0,0,129.9,normal,129.9,0.0,0.0,0.6495000000000001,0.0
8,65.0,65.0,0.0,0.147,0.5,0.3,12M,1,0.65,10,25,,10.0,25.0,True,12.0,molar_solution,1.0,1,130.0,normal,130.0,0.0,0.0,0.325,0.325
9,65.0,65.0,0.0,0.107,0.5,0.35,8M,1,0.65,8,20,,8.0,20.0,True,8.0,molar_solution,1.0,1,130.0,normal,130.0,0.0,0.0,0.325,0.325
10,93.2,46.6,0.0,0.192,0.3,0.3,12M,0.5,0.7,17,32,,17.0,32.0,True,12.0,molar_solution,0.5,1,139.8,normal,139.8,0.0,0.0,0.466,0.233
11,113.3,56.66,0.0,0.234,0.3,0.35,12M,0.5,0.85,24,46,,24.0,46.0,True,12.0,molar_solution,0.5,1,169.95999999999998,normal,169.95999999999998,0.0,0.0,0.5665,0.2833
12,59.3,150.7,0.0,0.172,1.0,0.46,12M,2.54,1.05,11,23,,11.0,23.0,True,12.0,molar_solution,2.54,1,210.0,normal,210.0,0.0,0.0,0.2965,0.7535
13,44.2,165.9,0.0,0.15,1.3,0.47,12M,3.75,1.05,7,14,,7.0,14.0,True,12.0,molar_solution,3.75,1,210.10000000000002,normal,210.10000000000002,0.0,0.0,0.221,0.8295
14,105.27,105.27,0.0,0.239,0.5,0.43,12M,1,1.05,18,45,,18.0,45.0,True,12.0,molar_solution,1.0,1,210.54,normal,210.54,0.0,0.0,0.52635,0.52635
15,129.03,90.32,0.0,0.277,0.4,0.43,12M,0.7,1.1,22,62,,22.0,62.0,True,12.0,molar_solution,0.7,1,219.35,normal,219.35,0.0,0.0,0.64515,0.45159999999999995
16,17.47,44.36,64.94,0.06,1.0,0.44,48% Na2O,2.54,0.63,135,335, High flowability,135.0,335.0,True,48.0,pct_na2o_solid,2.54,1,126.77,high_flowability,126.77,0.5122663090636586,0.3247,0.08735,0.2218
17,21.5,70.77,27.77,0.08,1.2,0.34,48% Na2O,3.29,0.6,-,-,Very stiff consistency,,,False,48.0,pct_na2o_solid,3.29,1,120.03999999999999,failed_reaction,120.03999999999999,0.2313395534821726,0.13885,0.1075,0.35385
18,23.3,59.16,44.79,0.08,1.0,0.39,48% Na2O,2.54,0.64,15,121,Stiff consistency,15.0,121.0,True,48.0,pct_na2o_solid,2.54,1,127.25,stiff,127.25,0.3519842829076621,0.22394999999999998,0.1165,0.2958
19,17.51,44.38,56.6,0.06,1.0,0.42,48% Na2O,2.53,0.59,72,156,High flowability,72.0,156.0,True,48.0,pct_na2o_solid,2.53,1,118.49000000000001,high_flowability,118.49000000000001,0.4776774411342729,0.28300000000000003,0.08755,0.22190000000000001
20,18.24,52.8,43.16,0.065,1.1,0.37,48% Na2O,2.89,0.57,41,146," Fair consistency, High shrinkage",41.0,146.0,True,48.0,pct_na2o_solid,2.89,1,114.19999999999999,fair_high_shrinkage,114.19999999999999,0.3779334500875657,0.2158,0.09119999999999999,0.264
21,20.44,51.55,44.79,0.07,1.0,0.37,48% Na2O,2.52,0.58,70,150,Fair consistency,70.0,150.0,True,48.0,pct_na2o_solid,2.52,1,116.78,fair,116.78,0.38354170234629215,0.22394999999999998,0.10220000000000001,0.25775
