,Na2O_pct,MS,LS,NaOH_conc_value,Na2SiO3_NaOH,Alk_Bi,has_Na2SiO3,solid_activator_fraction,water_binder_ratio,NaOH_binder_ratio,Na2SiO3_binder_ratio,IST,FST
Na2O_pct,1.0,-0.6227904120848915,-0.25237591359936973,-0.767791398270853,-0.6375486080652409,0.5299250770335024,-0.3037619628529498,-0.79857631721111,-0.7948427219411458,0.8670061103520046,0.014721810175974372,-0.4715349243812036,-0.5809591739125987
MS,-0.6227904120848915,1.0,0.7526545570256904,0.686429082826397,0.9907968685445104,0.26052265385124457,0.7882671966333814,0.6515859607870896,0.6477041962421397,-0.9014473138263378,0.7049590130968465,0.19957557987063074,0.37110094194069737
LS,-0.25237591359936973,0.7526545570256904,1.0,0.33987916077233754,0.7338028285816344,0.6413602501407366,0.6595314131879428,0.3579947782844569,0.3632365246930041,-0.48808622077409236,0.7682731124950605,0.1989681467338709,0.2515044312049115
NaOH_conc_value,-0.767791398270853,0.686429082826397,0.33987916077233754,1.0,0.6779425561865804,-0.33691924920329663,0.4399726504605378,0.9816921879598267,0.9778003666495872,-0.8274902793997695,0.013974530208975593,0.6080304571528136,0.7906223139698656
Na2SiO3_NaOH,-0.6375486080652409,0.9907968685445104,0.7338028285816344,0.6779425561865804,1.0,0.23007068526701166,0.705064167937064,0.6447787849587846,0.640627775134898,-0.8930747750875992,0.6769942406175836,0.21115622735444425,0.3745880792847479
Alk_Bi,0.5299250770335024,0.26052265385124457,0.6413602501407366,-0.33691924920329663,0.23007068526701166,1.0,0.43884849683695437,-0.3719539339410414,-0.3668181223701283,0.16057931581162044,0.813467718359726,-0.36540032578721793,-0.36909455711372674
has_Na2SiO3,-0.3037619628529498,0.7882671966333814,0.6595314131879428,0.4399726504605378,0.705064167937064,0.43884849683695437,1.0,0.4000419892163473,0.3984560624281771,-0.656523577444966,0.7430235089201419,-0.008410182690303419,0.14337142815187132
solid_activator_fraction,-0.79857631721111,0.6515859607870896,0.3579947782844569,0.9816921879598267,0.6447787849587846,-0.3719539339410414,0.4000419892163473,1.0,0.9987760348862099,-0.814050408766234,-0.03485385682308262,0.7166150532643448,0.8605135427953665
water_binder_ratio,-0.7948427219411458,0.6477041962421397,0.3632365246930041,0.9778003666495872,0.640627775134898,-0.3668181223701283,0.3984560624281771,0.9987760348862099,1.0,-0.8104804748728117,-0.03469467146495342,0.7246519627857687,0.872621471677868
NaOH_binder_ratio,0.8670061103520046,-0.9014473138263378,-0.48808622077409236,-0.8274902793997695,-0.8930747750875992,0.16057931581162044,-0.656523577444966,-0.814050408766234,-0.8104804748728117,1.0,-0.3863222566348011,-0.3443971848706111,-0.5253677403518789
Na2SiO3_binder_ratio,0.014721810175974372,0.7049590130968465,0.7682731124950605,0.013974530208975593,0.6769942406175836,0.813467718359726,0.7430235089201419,-0.03485385682308262,-0.03469467146495342,-0.3863222566348011,1.0,-0.3181119917703879,-0.23050247972907148
IST,-0.4715349243812036,0.19957557987063074,0.1989681467338709,0.6080304571528136,0.21115622735444425,-0.36540032578721793,-0.008410182690303419,0.7166150532643448,0.7246519627857687,-0.3443971848706111,-0.3181119917703879,1.0,0.9292673023470057
FST,-0.5809591739125987,0.37110094194069737,0.2515044312049115,0.7906223139698656,0.3745880792847479,-0.36909455711372674,0.14337142815187132,0.8605135427953665,0.872621471677868,-0.5253677403518789,-0.23050247972907148,0.9292673023470057,1.0
