feature,n,mean,std,min,max,skewness,kurtosis
Na2O_pct,19,0.15626315789473683,0.06832913979430182,0.06,0.277,-0.014409478354053425,-1.0894052402310876
MS,19,0.5210526315789474,0.4613734897846033,0.0,1.3,0.21737811954226802,-1.5337189202604127
LS,19,0.36,0.07055336829505576,0.23,0.47,-0.13684214663390398,-0.9575105921274774
NaOH_conc_value,19,20.63157894736842,16.86617432191752,8.0,48.0,1.1422286512266093,-0.7372795110699855
Na2SiO3_NaOH,19,1.263684210526316,1.2509916534330132,0.0,3.75,0.5293065929381393,-1.2180233248234122
Alk_Bi,19,0.7215789473684211,0.1933696275672503,0.55,1.1,1.1650917307848636,-0.2563324868513779
has_Na2SiO3,19,0.6842105263157895,0.4775669329409193,0.0,1.0,-0.8622136029114336,-1.4185520361990949
solid_activator_fraction,19,0.11070543081786587,0.19315584077792347,0.0,0.5122663090636586,1.28048299808867,-0.21295801447915208
water_binder_ratio,19,0.0669157894736842,0.11721755657825085,0.0,0.3247,1.3134966656399412,-0.04428705005882261
NaOH_binder_ratio,19,0.3923578947368421,0.22048872688691032,0.08735,0.6495000000000001,-0.2835532443182122,-1.6129033482339241
Na2SiO3_binder_ratio,19,0.2625526315789473,0.24663705029055022,0.0,0.8295,0.8999847948022542,0.5393395922422699
IST,19,34.78947368421053,31.30420445202639,7.0,135.0,2.036942132277099,5.05506657223658
FST,19,83.21052631578948,75.67296519113489,14.0,335.0,2.237603068468002,6.277573927906312
